,predict_model0,predict_model1,predict_model2,predict_model3,predict_model4,predict_model5,predict_model6,predict_model7,predict_model8,predict_model9,predict_model10,predict_model11,predict_model12,predict_model13,predict_model14,predict_model15,predict_model16,predict_model17,predict_model18,predict_model19,predict_model20,predict_model21,predict_model22,predict_model23,predict_model24,predict_model25,predict_model26,predict_model27,predict_model28,predict_model29,predict_model30,predict_model31,predict_model32
Nebraska,0.23095079822,0.410112547648,0.564906951232,0.377302460215,0.319087619905,0.409830045748,0.333030086444,0.4085070341,0.31842474103,0.40677822483,0.378546457817,0.404080725399,0.385849795037,0.394578485512,0.209813798685,0.408267126182,0.357157690148,0.414418397829,0.399042777255,0.39560621823,0.294862832611,0.471691279757,0.455561039414,0.373418053324,0.525831545707,0.413072451426,0.307709881676,0.398564153251,0.252446168182,0.409940119455,0.500369827965,0.463789137325,0.509487102788
Nevada,0.281412724907,0.796675526128,0.44371483563,0.692064422567,0.288507429235,0.541705092179,0.371331507532,0.564844802808,0.37482684196,0.563383401983,0.410368048369,0.574096312173,0.415156745478,0.473417115685,0.367590635196,0.572693726243,0.321871687806,0.545944658837,0.269498012192,0.573868278202,0.264007383076,0.50553142443,0.241824405563,0.399437460886,0.442822415742,0.552614203997,0.317035744593,0.622015669483,0.301777570564,0.74744933032,0.574636018373,0.59865680386,0.553865599166
New Hampshire,0.686426009985,0.725564894437,0.6357014258,0.63257809085,0.661959348375,0.519963357053,0.663031835406,0.538820456754,0.715852789283,0.536531599272,0.655273796256,0.542753502367,0.641923584981,0.601391518157,0.867527365983,0.534571237058,0.681586846447,0.524243002948,0.680280629301,0.528052832056,0.689540599268,0.552432334538,0.811557607939,0.884890096223,0.669716639981,0.535824758354,0.66124424035,0.578880782791,0.708183460012,0.690284210427,0.553152889859,0.566822081252,0.541493142616
New Jersey,0.988025444507,0.76044308296,0.610483727491,0.978609827639,0.989292616546,0.859842472459,0.997498679654,0.891534312738,0.999102049657,0.890804386262,0.997395333209,0.903313422529,0.996544507931,0.745749202122,0.997324089366,0.890556870669,0.99506218254,0.861342241094,0.993343486214,0.881950678401,0.989200914215,0.794061577579,0.999607205436,0.999757406477,0.939327783323,0.890152816651,0.98903939838,0.949595819528,0.990170380122,0.83057691918,0.588697306857,0.623840749044,0.554778553704
New Mexico,0.676117054907,0.421142133136,0.578839208864,0.275003447936,0.563230287256,0.344937337167,0.484721481543,0.333896318192,0.527543605415,0.332669385472,0.457470182752,0.325316846707,0.452172106056,0.369334981776,0.476543193972,0.333084552513,0.544755982259,0.339367804528,0.40969840894,0.343528157843,0.601152703079,0.340422535627,0.246222382782,0.13477391582,0.369960477133,0.317786455615,0.599109209472,0.277694534439,0.708893410894,0.302272085993,0.510967220058,0.389251856974,0.513989030083
New York,0.906303316606,0.8410376229,0.670910825506,0.851089504117,0.885076790086,0.666256925714,0.877248995291,0.68652659511,0.874157909216,0.692718026135,0.84458465808,0.711680547986,0.842716844553,0.581479383127,0.856102095396,0.682951772092,0.843745877069,0.649310396749,0.804295912043,0.697987985743,0.899077429015,0.557983350887,0.804230300861,0.911271413284,0.627344836689,0.686955855831,0.890800888695,0.780550534794,0.907549294065,0.762461643416,0.58535578808,0.584738334174,0.547582864093
North Carolina,0.694404537886,0.426897712101,0.579071603016,0.429668853628,0.656967825311,0.439380341108,0.577925839567,0.432722735051,0.580791159022,0.434456738347,0.557180073869,0.433068979631,0.554052086019,0.439503073613,0.523051248485,0.42872128595,0.630683527428,0.432404405684,0.622713905002,0.432091196733,0.672042249531,0.416316475943,0.525310015017,0.320142615228,0.463082291891,0.432618112117,0.650676607041,0.426749636007,0.668481518209,0.363476959318,0.508159839223,0.401799033633,0.506484686448
North Dakota,0.208932837795,0.398880429578,0.558998262045,0.36341723873,0.296235021374,0.393942909977,0.43225012884,0.392689609263,0.425227312192,0.390932328052,0.477419318584,0.388397401297,0.483344937343,0.415588334987,0.418461010915,0.401320338414,0.341294353318,0.404081392728,0.337181132693,0.40779996923,0.259880550443,0.499544237377,0.594511720976,0.618205439038,0.62912370956,0.406610113836,0.282690400354,0.390451447421,0.220660134604,0.57862912113,0.557532390884,0.562829315864,0.547639849502
Ohio,0.554448065497,0.747780191502,0.599410715429,0.78476351038,0.636320034728,0.623867277493,0.644560304619,0.645201599167,0.621941967259,0.647903321146,0.656847581901,0.663069958961,0.661032209743,0.586616176841,0.642876124047,0.64127646939,0.632372730183,0.615042559532,0.644560313529,0.657541479451,0.605962627287,0.559736573453,0.632616184639,0.670090238206,0.5331504092,0.645550991876,0.637862877013,0.721936108802,0.613056884854,0.565866356785,0.519187872977,0.511272493092,0.512060370003
Oklahoma,0.201808668902,0.152186886075,0.447199903501,0.195425898995,0.257424012096,0.321812631784,0.237800441067,0.303168933324,0.222798179722,0.302646565552,0.296023344562,0.29271735708,0.307641111324,0.346045497753,0.15304676578,0.304266563835,0.298667067319,0.323925916482,0.328004612967,0.303290604077,0.217934555254,0.362009348011,0.266681442214,0.11549684779,0.451762967206,0.301358064454,0.251233306125,0.24174919372,0.201079709627,0.243626110669,0.484641245323,0.363259850609,0.498869513819
Oregon,0.781317986683,0.937180871504,0.613512161854,0.799792091479,0.658764857497,0.595139311048,0.604431594391,0.626251894332,0.648645931943,0.625413711488,0.553818477303,0.641090857768,0.547219335691,0.558757267842,0.741616994252,0.623272279056,0.616254753627,0.592730866725,0.540187278671,0.631464784236,0.71320037193,0.578392067938,0.680704522692,0.882863503407,0.581560225892,0.624478413267,0.657710541909,0.717158087192,0.741133059546,0.842029982285,0.610018770787,0.657546729031,0.5768461429
Pennsylvania,0.743309365288,0.771356853788,0.617909094982,0.767463262205,0.738837729826,0.606561507186,0.720952813307,0.62562494961,0.72038551758,0.629982848938,0.716713653168,0.648395938286,0.728839070581,0.614360842258,0.825371369931,0.6209845796,0.707597700076,0.598877058404,0.716851142469,0.637026644348,0.742643473012,0.564990012388,0.791415671846,0.895738051171,0.65642225276,0.626791577441,0.737767394599,0.703026715911,0.745834536334,0.668603348,0.553922376088,0.553030398252,0.536748649783
Rhode Island,0.991053965701,0.796276295029,0.680917679051,0.962090652981,0.98909345862,0.816067283141,0.99565217407,0.854428231298,0.998677670989,0.851372900949,0.995099108473,0.864415857996,0.993394935795,0.718037666304,0.996135139823,0.848605909732,0.994754475643,0.807879226538,0.984228324125,0.857941557433,0.989831114097,0.741239345846,0.998837319658,0.997967300229,0.865590425161,0.84624137199,0.989259164163,0.918255842605,0.992953910603,0.927363019998,0.669500718104,0.723851501967,0.60332468042
