,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
231,"Obama, Barack",Midwest,2012-06-29 00:00:00,-2190.0
232,"Obama, Barack",Midwest,2012-06-30 00:00:00,-2315.75
233,"Obama, Barack",Midwest,2012-07-02 00:00:00,-2305.0
234,"Obama, Barack",Midwest,2012-07-03 00:00:00,-480.0
235,"Obama, Barack",Midwest,2012-07-04 00:00:00,-1892.0
236,"Obama, Barack",Midwest,2012-07-05 00:00:00,-1146.0
237,"Obama, Barack",Midwest,2012-07-06 00:00:00,-5944.0
238,"Obama, Barack",Midwest,2012-07-08 00:00:00,-10.0
239,"Obama, Barack",Midwest,2012-07-09 00:00:00,-6192.0
240,"Obama, Barack",Midwest,2012-07-10 00:00:00,-195.0
241,"Obama, Barack",Midwest,2012-07-11 00:00:00,-370.0
242,"Obama, Barack",Midwest,2012-07-13 00:00:00,-1204.0
243,"Obama, Barack",Midwest,2012-07-16 00:00:00,-4506.0
244,"Obama, Barack",Midwest,2012-07-17 00:00:00,-3660.0
245,"Obama, Barack",Midwest,2012-07-18 00:00:00,-184.0
246,"Obama, Barack",Midwest,2012-07-19 00:00:00,-2358.0
247,"Obama, Barack",Midwest,2012-07-20 00:00:00,-689.0
248,"Obama, Barack",Midwest,2012-07-21 00:00:00,-210.0
249,"Obama, Barack",Midwest,2012-07-23 00:00:00,-7191.0
250,"Obama, Barack",Midwest,2012-07-24 00:00:00,-715.0
251,"Obama, Barack",Midwest,2012-07-25 00:00:00,-895.5
252,"Obama, Barack",Midwest,2012-07-26 00:00:00,-570.0
253,"Obama, Barack",Midwest,2012-07-27 00:00:00,-3821.0
254,"Obama, Barack",Midwest,2012-07-28 00:00:00,-1394.25
255,"Obama, Barack",Midwest,2012-07-29 00:00:00,-5000.0
256,"Obama, Barack",Midwest,2012-07-30 00:00:00,-3941.0
257,"Obama, Barack",Midwest,2012-07-31 00:00:00,-1935.0
258,"Obama, Barack",Midwest,2012-08-01 00:00:00,-1250.0
259,"Obama, Barack",Midwest,2012-08-02 00:00:00,-706.0
260,"Obama, Barack",Midwest,2012-08-03 00:00:00,-447.0
261,"Obama, Barack",Midwest,2012-08-05 00:00:00,-80.0
262,"Obama, Barack",Midwest,2012-08-06 00:00:00,-827.0
263,"Obama, Barack",Midwest,2012-08-07 00:00:00,-1045.0
264,"Obama, Barack",Midwest,2012-08-08 00:00:00,-1215.0
265,"Obama, Barack",Midwest,2012-08-09 00:00:00,-2606.0
266,"Obama, Barack",Midwest,2012-08-10 00:00:00,-2285.0
267,"Obama, Barack",Midwest,2012-08-11 00:00:00,-400.0
268,"Obama, Barack",Midwest,2012-08-13 00:00:00,-255.0
269,"Obama, Barack",Midwest,2012-08-14 00:00:00,-1230.0
270,"Obama, Barack",Midwest,2012-08-15 00:00:00,-350.0
271,"Obama, Barack",Midwest,2012-08-16 00:00:00,-1400.0
272,"Obama, Barack",Midwest,2012-08-17 00:00:00,-1295.0
273,"Obama, Barack",Midwest,2012-08-18 00:00:00,-6460.5
274,"Obama, Barack",Midwest,2012-08-20 00:00:00,-5005.0
275,"Obama, Barack",Midwest,2012-08-21 00:00:00,-1335.0
276,"Obama, Barack",Midwest,2012-08-22 00:00:00,-2421.0
277,"Obama, Barack",Midwest,2012-08-23 00:00:00,-5495.9
278,"Obama, Barack",Midwest,2012-08-24 00:00:00,-1850.0
279,"Obama, Barack",Midwest,2012-08-25 00:00:00,-55.0
280,"Obama, Barack",Midwest,2012-08-27 00:00:00,-12647.0
281,"Obama, Barack",Midwest,2012-08-28 00:00:00,-1636.0
282,"Obama, Barack",Midwest,2012-08-30 00:00:00,-3533.2
283,"Obama, Barack",Midwest,2012-08-31 00:00:00,-12650.0
284,"Obama, Barack",Midwest,2012-09-01 00:00:00,-25.0
285,"Obama, Barack",Midwest,2012-09-03 00:00:00,-5932.0
286,"Obama, Barack",Midwest,2012-09-04 00:00:00,-1012.49
287,"Obama, Barack",Midwest,2012-09-05 00:00:00,-641.1
288,"Obama, Barack",Midwest,2012-09-06 00:00:00,-1351.25
289,"Obama, Barack",Midwest,2012-09-07 00:00:00,-361.0
290,"Obama, Barack",Midwest,2012-09-08 00:00:00,-22.5
291,"Obama, Barack",Midwest,2012-09-10 00:00:00,-15033.95
292,"Obama, Barack",Midwest,2012-09-11 00:00:00,-28949.0
293,"Obama, Barack",Midwest,2012-09-12 00:00:00,-8221.0
294,"Obama, Barack",Midwest,2012-09-13 00:00:00,-3336.5
295,"Obama, Barack",Midwest,2012-09-14 00:00:00,-3185.0
296,"Obama, Barack",Midwest,2012-09-17 00:00:00,-5338.5
297,"Obama, Barack",Midwest,2012-09-18 00:00:00,-4128.0
298,"Obama, Barack",Midwest,2012-09-19 00:00:00,-7404.77
299,"Obama, Barack",Midwest,2012-09-20 00:00:00,-712.0
300,"Obama, Barack",Midwest,2012-09-21 00:00:00,-3331.5
301,"Obama, Barack",Midwest,2012-09-22 00:00:00,-5117.0
302,"Obama, Barack",Midwest,2012-09-24 00:00:00,-14595.0
303,"Obama, Barack",Midwest,2012-09-25 00:00:00,-19276.0
304,"Obama, Barack",Midwest,2012-09-26 00:00:00,-2615.0
305,"Obama, Barack",Midwest,2012-09-27 00:00:00,-4338.0
306,"Obama, Barack",Midwest,2012-09-28 00:00:00,-1230.0
307,"Obama, Barack",Midwest,2012-09-29 00:00:00,-1000.0
308,"Obama, Barack",Midwest,2012-09-30 00:00:00,-7175.8
309,"Obama, Barack",Midwest,2012-10-01 00:00:00,-12716.5
310,"Obama, Barack",Midwest,2012-10-02 00:00:00,-1930.0
311,"Obama, Barack",Midwest,2012-10-03 00:00:00,-7978.0
312,"Obama, Barack",Midwest,2012-10-04 00:00:00,-1305.0
313,"Obama, Barack",Midwest,2012-10-05 00:00:00,-4665.0
314,"Obama, Barack",Midwest,2012-10-08 00:00:00,-20201.75
315,"Obama, Barack",Midwest,2012-10-09 00:00:00,-4226.0
316,"Obama, Barack",Midwest,2012-10-10 00:00:00,-1342.0
317,"Obama, Barack",Midwest,2012-10-11 00:00:00,-5566.0
318,"Obama, Barack",Midwest,2012-10-12 00:00:00,-4449.0
319,"Obama, Barack",Midwest,2012-10-13 00:00:00,-5160.0
320,"Obama, Barack",Midwest,2012-10-15 00:00:00,-19257.0
321,"Obama, Barack",Midwest,2012-10-16 00:00:00,-2340.0
322,"Obama, Barack",Midwest,2012-10-17 00:00:00,-8793.75
323,"Obama, Barack",Midwest,2012-10-18 00:00:00,-8840.0
324,"Obama, Barack",Midwest,2012-10-19 00:00:00,-6296.46
325,"Obama, Barack",Midwest,2012-10-20 00:00:00,-150.0
326,"Obama, Barack",Midwest,2012-10-21 00:00:00,-709.25
327,"Obama, Barack",Midwest,2012-10-22 00:00:00,-3555.0
328,"Obama, Barack",Midwest,2012-10-23 00:00:00,-19489.0
329,"Obama, Barack",Midwest,2012-10-24 00:00:00,-11294.4
330,"Obama, Barack",Midwest,2012-10-25 00:00:00,-29653.0
331,"Obama, Barack",Midwest,2012-10-26 00:00:00,-7486.5
332,"Obama, Barack",Midwest,2012-10-27 00:00:00,-2110.0
333,"Obama, Barack",Midwest,2012-10-28 00:00:00,-1124.25
334,"Obama, Barack",Midwest,2012-10-29 00:00:00,-19603.0
335,"Obama, Barack",Midwest,2012-10-30 00:00:00,-15943.0
336,"Obama, Barack",Midwest,2012-10-31 00:00:00,-2284.0
337,"Obama, Barack",Midwest,2012-11-01 00:00:00,-7736.0
338,"Obama, Barack",Midwest,2012-11-02 00:00:00,-9083.0
339,"Obama, Barack",Midwest,2012-11-03 00:00:00,-1485.0
340,"Obama, Barack",Midwest,2012-11-04 00:00:00,-4394.67
341,"Obama, Barack",Midwest,2012-11-05 00:00:00,-44861.2
342,"Obama, Barack",Midwest,2012-11-06 00:00:00,-6032.0
343,"Obama, Barack",Midwest,2012-11-08 00:00:00,-2119.0
344,"Obama, Barack",Midwest,2012-11-09 00:00:00,-2055.0
345,"Obama, Barack",Midwest,2012-11-10 00:00:00,-100.0
346,"Obama, Barack",Midwest,2012-11-12 00:00:00,-115.0
347,"Obama, Barack",Midwest,2012-11-13 00:00:00,-3145.0
348,"Obama, Barack",Midwest,2012-11-14 00:00:00,-7106.5
349,"Obama, Barack",Midwest,2012-11-15 00:00:00,-29639.5
350,"Obama, Barack",Midwest,2012-11-16 00:00:00,-20983.35
351,"Obama, Barack",Midwest,2012-11-17 00:00:00,-100.0
352,"Obama, Barack",Midwest,2012-11-19 00:00:00,-9443.0
353,"Obama, Barack",Midwest,2012-11-20 00:00:00,-4221.5
354,"Obama, Barack",Midwest,2012-11-21 00:00:00,-7296.5
355,"Obama, Barack",Midwest,2012-11-22 00:00:00,-6366.5
356,"Obama, Barack",Midwest,2012-11-23 00:00:00,-1675.0
357,"Obama, Barack",Midwest,2012-11-26 00:00:00,-9228.4
358,"Obama, Barack",Midwest,2012-11-27 00:00:00,-9730.0
359,"Obama, Barack",Midwest,2012-11-28 00:00:00,-3353.8599999999997
360,"Obama, Barack",Midwest,2012-11-29 00:00:00,-7670.0
361,"Obama, Barack",Midwest,2012-11-30 00:00:00,-3100.0
362,"Obama, Barack",Midwest,2012-12-01 00:00:00,-690.0
363,"Obama, Barack",Midwest,2012-12-03 00:00:00,-730.0
364,"Obama, Barack",Midwest,2012-12-04 00:00:00,-3240.0
365,"Obama, Barack",Midwest,2012-12-05 00:00:00,-13311.279999999999
366,"Obama, Barack",Midwest,2012-12-06 00:00:00,-1430.0
367,"Obama, Barack",Midwest,2012-12-07 00:00:00,-25227.399999999994
368,"Obama, Barack",Midwest,2012-12-08 00:00:00,-1187.0
369,"Obama, Barack",Midwest,2012-12-10 00:00:00,-7867.0
370,"Obama, Barack",Midwest,2012-12-11 00:00:00,-13863.0
371,"Obama, Barack",Midwest,2012-12-12 00:00:00,-2640.0
372,"Obama, Barack",Midwest,2012-12-13 00:00:00,-1795.0
373,"Obama, Barack",Midwest,2012-12-14 00:00:00,-3248.0
374,"Obama, Barack",Midwest,2012-12-15 00:00:00,-100.0
375,"Obama, Barack",Midwest,2012-12-17 00:00:00,-1140.0
376,"Obama, Barack",Midwest,2012-12-18 00:00:00,-4514.49
377,"Obama, Barack",Midwest,2012-12-20 00:00:00,-1080.0
378,"Obama, Barack",Midwest,2012-12-21 00:00:00,-1580.0
379,"Obama, Barack",Midwest,2012-12-22 00:00:00,-150.0
380,"Obama, Barack",Midwest,2012-12-24 00:00:00,-6261.0
381,"Obama, Barack",Midwest,2012-12-26 00:00:00,-3075.0
382,"Obama, Barack",Midwest,2012-12-27 00:00:00,-75.0
383,"Obama, Barack",Midwest,2012-12-28 00:00:00,-715.0
384,"Obama, Barack",Midwest,2012-12-31 00:00:00,-40627.58
385,"Obama, Barack",Northeast,2011-04-04 00:00:00,-5000.0
386,"Obama, Barack",Northeast,2011-04-17 00:00:00,-225.0
387,"Obama, Barack",Northeast,2011-04-26 00:00:00,-566.0
388,"Obama, Barack",Northeast,2011-04-27 00:00:00,-200.0
389,"Obama, Barack",Northeast,2011-04-29 00:00:00,-1000.0
390,"Obama, Barack",Northeast,2011-04-30 00:00:00,-5090.0
391,"Obama, Barack",Northeast,2011-05-09 00:00:00,-1782.0
392,"Obama, Barack",Northeast,2011-05-10 00:00:00,-900.0
393,"Obama, Barack",Northeast,2011-05-13 00:00:00,-25.0
394,"Obama, Barack",Northeast,2011-05-14 00:00:00,-990.0
395,"Obama, Barack",Northeast,2011-05-17 00:00:00,-200.0
396,"Obama, Barack",Northeast,2011-05-20 00:00:00,-1950.0
397,"Obama, Barack",Northeast,2011-05-21 00:00:00,-485.0
398,"Obama, Barack",Northeast,2011-05-24 00:00:00,-750.0
399,"Obama, Barack",Northeast,2011-05-25 00:00:00,-75.0
