,cand_nm,contb_receipt_dt_format,contb_receipt_amt
257,"Obama, Barack",2011-12-17 00:00:00,46885.299999999996
258,"Obama, Barack",2011-12-18 00:00:00,58250.329999999994
259,"Obama, Barack",2011-12-19 00:00:00,366553.28
260,"Obama, Barack",2011-12-20 00:00:00,418977.41
261,"Obama, Barack",2011-12-21 00:00:00,394574.96
262,"Obama, Barack",2011-12-22 00:00:00,475968.16
263,"Obama, Barack",2011-12-23 00:00:00,305609.73
264,"Obama, Barack",2011-12-24 00:00:00,44850.75
265,"Obama, Barack",2011-12-25 00:00:00,34264.5
266,"Obama, Barack",2011-12-26 00:00:00,130368.94999999997
267,"Obama, Barack",2011-12-27 00:00:00,508258.67000000004
268,"Obama, Barack",2011-12-28 00:00:00,599115.4800000001
269,"Obama, Barack",2011-12-29 00:00:00,657712.5499999999
270,"Obama, Barack",2011-12-30 00:00:00,1563236.4500000007
271,"Obama, Barack",2011-12-31 00:00:00,3567683.5700000026
272,"Obama, Barack",2012-01-01 00:00:00,72811.79999999999
273,"Obama, Barack",2012-01-02 00:00:00,89793.59999999999
274,"Obama, Barack",2012-01-03 00:00:00,96158.97
275,"Obama, Barack",2012-01-04 00:00:00,168922.24
276,"Obama, Barack",2012-01-05 00:00:00,205936.86
277,"Obama, Barack",2012-01-06 00:00:00,142080.95
278,"Obama, Barack",2012-01-07 00:00:00,92060.12
279,"Obama, Barack",2012-01-08 00:00:00,86218.0
280,"Obama, Barack",2012-01-09 00:00:00,206996.99
281,"Obama, Barack",2012-01-10 00:00:00,195108.12
282,"Obama, Barack",2012-01-11 00:00:00,184448.52000000002
283,"Obama, Barack",2012-01-12 00:00:00,474047.53
284,"Obama, Barack",2012-01-13 00:00:00,389370.48
285,"Obama, Barack",2012-01-14 00:00:00,86448.8
286,"Obama, Barack",2012-01-15 00:00:00,72905.5
287,"Obama, Barack",2012-01-16 00:00:00,119513.21
288,"Obama, Barack",2012-01-17 00:00:00,306392.61
289,"Obama, Barack",2012-01-18 00:00:00,220659.47
290,"Obama, Barack",2012-01-19 00:00:00,280899.88
291,"Obama, Barack",2012-01-20 00:00:00,257384.57
292,"Obama, Barack",2012-01-21 00:00:00,53331.5
293,"Obama, Barack",2012-01-22 00:00:00,67157.23000000001
294,"Obama, Barack",2012-01-23 00:00:00,348789.07
295,"Obama, Barack",2012-01-24 00:00:00,460923.23
296,"Obama, Barack",2012-01-25 00:00:00,441453.32
297,"Obama, Barack",2012-01-26 00:00:00,451743.9400000001
298,"Obama, Barack",2012-01-27 00:00:00,309830.47000000003
299,"Obama, Barack",2012-01-28 00:00:00,237742.84999999998
300,"Obama, Barack",2012-01-29 00:00:00,93417.0
301,"Obama, Barack",2012-01-30 00:00:00,434761.72
302,"Obama, Barack",2012-01-31 00:00:00,1420141.3199999998
303,"Obama, Barack",2012-02-01 00:00:00,655183.9400000001
304,"Obama, Barack",2012-02-02 00:00:00,607376.1699999999
305,"Obama, Barack",2012-02-03 00:00:00,483628.65
306,"Obama, Barack",2012-02-04 00:00:00,190315.4
307,"Obama, Barack",2012-02-05 00:00:00,116254.75
308,"Obama, Barack",2012-02-06 00:00:00,606758.1
309,"Obama, Barack",2012-02-07 00:00:00,552666.43
310,"Obama, Barack",2012-02-08 00:00:00,527941.69
311,"Obama, Barack",2012-02-09 00:00:00,563946.4299999999
312,"Obama, Barack",2012-02-10 00:00:00,674803.67
313,"Obama, Barack",2012-02-11 00:00:00,202778.06
314,"Obama, Barack",2012-02-12 00:00:00,126944.86000000002
315,"Obama, Barack",2012-02-13 00:00:00,450705.31
316,"Obama, Barack",2012-02-14 00:00:00,340899.8499999999
317,"Obama, Barack",2012-02-15 00:00:00,543929.26
318,"Obama, Barack",2012-02-16 00:00:00,346802.98
319,"Obama, Barack",2012-02-17 00:00:00,707405.92
320,"Obama, Barack",2012-02-18 00:00:00,150148.34
321,"Obama, Barack",2012-02-19 00:00:00,119301.14
322,"Obama, Barack",2012-02-20 00:00:00,288620.02
323,"Obama, Barack",2012-02-21 00:00:00,947449.85
324,"Obama, Barack",2012-02-22 00:00:00,692537.71
325,"Obama, Barack",2012-02-23 00:00:00,489577.30000000005
326,"Obama, Barack",2012-02-24 00:00:00,726409.73
327,"Obama, Barack",2012-02-25 00:00:00,253306.81
328,"Obama, Barack",2012-02-26 00:00:00,204961.56999999995
329,"Obama, Barack",2012-02-27 00:00:00,597842.0399999999
330,"Obama, Barack",2012-02-28 00:00:00,577968.65
331,"Obama, Barack",2012-02-29 00:00:00,3004562.5300000003
332,"Obama, Barack",2012-03-01 00:00:00,450916.99
333,"Obama, Barack",2012-03-02 00:00:00,462372.23000000004
334,"Obama, Barack",2012-03-03 00:00:00,294716.94999999995
335,"Obama, Barack",2012-03-04 00:00:00,170020.0
336,"Obama, Barack",2012-03-05 00:00:00,377174.06
337,"Obama, Barack",2012-03-06 00:00:00,651555.4199999999
338,"Obama, Barack",2012-03-07 00:00:00,502495.54
339,"Obama, Barack",2012-03-08 00:00:00,663121.8899999999
340,"Obama, Barack",2012-03-09 00:00:00,483442.4
341,"Obama, Barack",2012-03-10 00:00:00,170102.91
342,"Obama, Barack",2012-03-11 00:00:00,238297.25000000003
343,"Obama, Barack",2012-03-12 00:00:00,667974.12
344,"Obama, Barack",2012-03-13 00:00:00,634560.9600000001
345,"Obama, Barack",2012-03-14 00:00:00,481538.86000000004
346,"Obama, Barack",2012-03-15 00:00:00,611890.3100000002
347,"Obama, Barack",2012-03-16 00:00:00,657959.26
348,"Obama, Barack",2012-03-17 00:00:00,160789.13
349,"Obama, Barack",2012-03-18 00:00:00,294048.25
350,"Obama, Barack",2012-03-19 00:00:00,429501.67
351,"Obama, Barack",2012-03-20 00:00:00,477177.34
352,"Obama, Barack",2012-03-21 00:00:00,481216.43
353,"Obama, Barack",2012-03-22 00:00:00,555830.1599999999
354,"Obama, Barack",2012-03-23 00:00:00,414159.48
355,"Obama, Barack",2012-03-24 00:00:00,180954.08
356,"Obama, Barack",2012-03-25 00:00:00,176519.95
357,"Obama, Barack",2012-03-26 00:00:00,807354.3900000004
358,"Obama, Barack",2012-03-27 00:00:00,1023052.4000000001
359,"Obama, Barack",2012-03-28 00:00:00,1130534.6000000003
360,"Obama, Barack",2012-03-29 00:00:00,1100803.6900000002
361,"Obama, Barack",2012-03-30 00:00:00,1887123.3900000001
362,"Obama, Barack",2012-03-31 00:00:00,4077964.04
363,"Obama, Barack",2012-04-01 00:00:00,203095.05000000002
364,"Obama, Barack",2012-04-02 00:00:00,284750.87
365,"Obama, Barack",2012-04-03 00:00:00,275484.24
366,"Obama, Barack",2012-04-04 00:00:00,269904.02
367,"Obama, Barack",2012-04-05 00:00:00,437140.46
368,"Obama, Barack",2012-04-06 00:00:00,395195.93000000005
369,"Obama, Barack",2012-04-07 00:00:00,105830.52
370,"Obama, Barack",2012-04-08 00:00:00,100355.94
371,"Obama, Barack",2012-04-09 00:00:00,454510.17999999993
372,"Obama, Barack",2012-04-10 00:00:00,358518.18
373,"Obama, Barack",2012-04-11 00:00:00,415443.88
374,"Obama, Barack",2012-04-12 00:00:00,416083.82999999996
375,"Obama, Barack",2012-04-13 00:00:00,620241.81
376,"Obama, Barack",2012-04-14 00:00:00,157854.72999999998
377,"Obama, Barack",2012-04-15 00:00:00,132472.95
378,"Obama, Barack",2012-04-16 00:00:00,473183.14999999997
379,"Obama, Barack",2012-04-17 00:00:00,394026.32
380,"Obama, Barack",2012-04-18 00:00:00,354329.0
381,"Obama, Barack",2012-04-19 00:00:00,700784.4900000001
382,"Obama, Barack",2012-04-20 00:00:00,648984.15
383,"Obama, Barack",2012-04-21 00:00:00,323931.43
384,"Obama, Barack",2012-04-22 00:00:00,210114.49
385,"Obama, Barack",2012-04-23 00:00:00,776818.52
386,"Obama, Barack",2012-04-24 00:00:00,888806.4500000001
387,"Obama, Barack",2012-04-25 00:00:00,708541.7
388,"Obama, Barack",2012-04-26 00:00:00,547540.3800000001
389,"Obama, Barack",2012-04-27 00:00:00,753140.95
390,"Obama, Barack",2012-04-28 00:00:00,484565.83999999997
391,"Obama, Barack",2012-04-29 00:00:00,345019.68999999994
392,"Obama, Barack",2012-04-30 00:00:00,3546232.2600000002
393,"Obama, Barack",2012-05-01 00:00:00,225244.97999999998
394,"Obama, Barack",2012-05-02 00:00:00,192108.39999999997
395,"Obama, Barack",2012-05-03 00:00:00,167140.43
396,"Obama, Barack",2012-05-04 00:00:00,379836.82999999996
397,"Obama, Barack",2012-05-05 00:00:00,244073.33000000002
398,"Obama, Barack",2012-05-06 00:00:00,237277.32000000004
399,"Obama, Barack",2012-05-07 00:00:00,469322.63
400,"Obama, Barack",2012-05-08 00:00:00,517506.95
401,"Obama, Barack",2012-05-09 00:00:00,2213689.81
402,"Obama, Barack",2012-05-10 00:00:00,2137017.7900000005
403,"Obama, Barack",2012-05-11 00:00:00,975997.07
404,"Obama, Barack",2012-05-12 00:00:00,289104.97
405,"Obama, Barack",2012-05-13 00:00:00,237002.43
406,"Obama, Barack",2012-05-14 00:00:00,611786.4899999999
407,"Obama, Barack",2012-05-15 00:00:00,962502.03
408,"Obama, Barack",2012-05-16 00:00:00,711670.96
409,"Obama, Barack",2012-05-17 00:00:00,797556.0999999999
410,"Obama, Barack",2012-05-18 00:00:00,944391.89
411,"Obama, Barack",2012-05-19 00:00:00,340174.29000000004
412,"Obama, Barack",2012-05-20 00:00:00,210001.32
413,"Obama, Barack",2012-05-21 00:00:00,1163765.7500000002
414,"Obama, Barack",2012-05-22 00:00:00,1084913.97
415,"Obama, Barack",2012-05-23 00:00:00,792509.3400000001
416,"Obama, Barack",2012-05-24 00:00:00,944015.0700000001
417,"Obama, Barack",2012-05-25 00:00:00,960928.81
418,"Obama, Barack",2012-05-26 00:00:00,264655.48
419,"Obama, Barack",2012-05-27 00:00:00,163979.49
420,"Obama, Barack",2012-05-28 00:00:00,355600.8599999999
421,"Obama, Barack",2012-05-29 00:00:00,956005.4199999999
422,"Obama, Barack",2012-05-30 00:00:00,1304739.6199999999
423,"Obama, Barack",2012-05-31 00:00:00,4511547.350000001
424,"Obama, Barack",2012-06-01 00:00:00,1097117.9699999997
425,"Obama, Barack",2012-06-02 00:00:00,193846.5
426,"Obama, Barack",2012-06-03 00:00:00,287032.37
427,"Obama, Barack",2012-06-04 00:00:00,926961.3200000001
428,"Obama, Barack",2012-06-05 00:00:00,590422.76
429,"Obama, Barack",2012-06-06 00:00:00,816843.75
430,"Obama, Barack",2012-06-07 00:00:00,786215.4299999999
431,"Obama, Barack",2012-06-08 00:00:00,900412.62
432,"Obama, Barack",2012-06-09 00:00:00,276502.01999999996
433,"Obama, Barack",2012-06-10 00:00:00,182437.00000000003
434,"Obama, Barack",2012-06-11 00:00:00,933523.94
435,"Obama, Barack",2012-06-12 00:00:00,814634.5500000002
436,"Obama, Barack",2012-06-13 00:00:00,1188422.0099999998
437,"Obama, Barack",2012-06-14 00:00:00,683014.95
438,"Obama, Barack",2012-06-15 00:00:00,723082.5599999998
439,"Obama, Barack",2012-06-16 00:00:00,325055.02
440,"Obama, Barack",2012-06-17 00:00:00,394241.86
441,"Obama, Barack",2012-06-18 00:00:00,788949.07
442,"Obama, Barack",2012-06-19 00:00:00,494158.12
443,"Obama, Barack",2012-06-20 00:00:00,851896.4299999999
444,"Obama, Barack",2012-06-21 00:00:00,2463586.98
445,"Obama, Barack",2012-06-22 00:00:00,526881.3600000001
446,"Obama, Barack",2012-06-23 00:00:00,438350.06
447,"Obama, Barack",2012-06-24 00:00:00,531480.7200000001
448,"Obama, Barack",2012-06-25 00:00:00,2778745.24
449,"Obama, Barack",2012-06-26 00:00:00,2721057.08
450,"Obama, Barack",2012-06-27 00:00:00,1367767.3599999999
451,"Obama, Barack",2012-06-28 00:00:00,2994364.93
452,"Obama, Barack",2012-06-29 00:00:00,2488413.6699999995
453,"Obama, Barack",2012-06-30 00:00:00,6965605.440000001
454,"Obama, Barack",2012-07-01 00:00:00,742119.1399999999
455,"Obama, Barack",2012-07-02 00:00:00,786318.15
456,"Obama, Barack",2012-07-03 00:00:00,800474.25
457,"Obama, Barack",2012-07-04 00:00:00,253183.83000000002
458,"Obama, Barack",2012-07-05 00:00:00,947868.04
459,"Obama, Barack",2012-07-06 00:00:00,938155.4600000001
460,"Obama, Barack",2012-07-07 00:00:00,675291.5
461,"Obama, Barack",2012-07-08 00:00:00,352949.82
462,"Obama, Barack",2012-07-09 00:00:00,1288534.53
463,"Obama, Barack",2012-07-10 00:00:00,2174494.05
