,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
275,"Obama, Barack",Far West,2012-01-04 00:00:00,24002.620000000003
276,"Obama, Barack",Far West,2012-01-05 00:00:00,23199.8
277,"Obama, Barack",Far West,2012-01-06 00:00:00,18612.0
278,"Obama, Barack",Far West,2012-01-07 00:00:00,14873.5
279,"Obama, Barack",Far West,2012-01-08 00:00:00,7512.5
280,"Obama, Barack",Far West,2012-01-09 00:00:00,14919.5
281,"Obama, Barack",Far West,2012-01-10 00:00:00,40016.94
282,"Obama, Barack",Far West,2012-01-11 00:00:00,39388.01
283,"Obama, Barack",Far West,2012-01-12 00:00:00,93722.25
284,"Obama, Barack",Far West,2012-01-13 00:00:00,78842.65
285,"Obama, Barack",Far West,2012-01-14 00:00:00,21430.0
286,"Obama, Barack",Far West,2012-01-15 00:00:00,12161.5
287,"Obama, Barack",Far West,2012-01-16 00:00:00,19311.96
288,"Obama, Barack",Far West,2012-01-17 00:00:00,67635.75
289,"Obama, Barack",Far West,2012-01-18 00:00:00,51501.24
290,"Obama, Barack",Far West,2012-01-19 00:00:00,88394.5
291,"Obama, Barack",Far West,2012-01-20 00:00:00,68041.5
292,"Obama, Barack",Far West,2012-01-21 00:00:00,7941.5
293,"Obama, Barack",Far West,2012-01-22 00:00:00,13970.5
294,"Obama, Barack",Far West,2012-01-23 00:00:00,77218.06
295,"Obama, Barack",Far West,2012-01-24 00:00:00,132377.87
296,"Obama, Barack",Far West,2012-01-25 00:00:00,160442.12
297,"Obama, Barack",Far West,2012-01-26 00:00:00,158751.36
298,"Obama, Barack",Far West,2012-01-27 00:00:00,141109.0
299,"Obama, Barack",Far West,2012-01-28 00:00:00,82292.62
300,"Obama, Barack",Far West,2012-01-29 00:00:00,30817.5
301,"Obama, Barack",Far West,2012-01-30 00:00:00,160528.22
302,"Obama, Barack",Far West,2012-01-31 00:00:00,280988.03
303,"Obama, Barack",Far West,2012-02-01 00:00:00,232066.7
304,"Obama, Barack",Far West,2012-02-02 00:00:00,250093.45
305,"Obama, Barack",Far West,2012-02-03 00:00:00,184044.52000000002
306,"Obama, Barack",Far West,2012-02-04 00:00:00,78540.19
307,"Obama, Barack",Far West,2012-02-05 00:00:00,22193.0
308,"Obama, Barack",Far West,2012-02-06 00:00:00,236756.41
309,"Obama, Barack",Far West,2012-02-07 00:00:00,229286.55
310,"Obama, Barack",Far West,2012-02-08 00:00:00,214108.04
311,"Obama, Barack",Far West,2012-02-09 00:00:00,219759.27
312,"Obama, Barack",Far West,2012-02-10 00:00:00,235712.19
313,"Obama, Barack",Far West,2012-02-11 00:00:00,59335.41
314,"Obama, Barack",Far West,2012-02-12 00:00:00,32194.7
315,"Obama, Barack",Far West,2012-02-13 00:00:00,126476.35
316,"Obama, Barack",Far West,2012-02-14 00:00:00,82624.45
317,"Obama, Barack",Far West,2012-02-15 00:00:00,112044.25
318,"Obama, Barack",Far West,2012-02-16 00:00:00,39480.9
319,"Obama, Barack",Far West,2012-02-17 00:00:00,153134.97
320,"Obama, Barack",Far West,2012-02-18 00:00:00,32712.0
321,"Obama, Barack",Far West,2012-02-19 00:00:00,16175.69
322,"Obama, Barack",Far West,2012-02-20 00:00:00,20150.0
323,"Obama, Barack",Far West,2012-02-21 00:00:00,213686.05
324,"Obama, Barack",Far West,2012-02-22 00:00:00,103925.69
325,"Obama, Barack",Far West,2012-02-23 00:00:00,82800.5
326,"Obama, Barack",Far West,2012-02-24 00:00:00,61861.62
327,"Obama, Barack",Far West,2012-02-25 00:00:00,27931.5
328,"Obama, Barack",Far West,2012-02-26 00:00:00,36932.0
329,"Obama, Barack",Far West,2012-02-27 00:00:00,56540.630000000005
330,"Obama, Barack",Far West,2012-02-28 00:00:00,95872.12
331,"Obama, Barack",Far West,2012-02-29 00:00:00,168876.03999999998
332,"Obama, Barack",Far West,2012-03-01 00:00:00,67160.47
333,"Obama, Barack",Far West,2012-03-02 00:00:00,93590.25
334,"Obama, Barack",Far West,2012-03-03 00:00:00,66165.56
335,"Obama, Barack",Far West,2012-03-04 00:00:00,30367.5
336,"Obama, Barack",Far West,2012-03-05 00:00:00,53442.87
337,"Obama, Barack",Far West,2012-03-06 00:00:00,101523.37
338,"Obama, Barack",Far West,2012-03-07 00:00:00,77561.3
339,"Obama, Barack",Far West,2012-03-08 00:00:00,98423.89
340,"Obama, Barack",Far West,2012-03-09 00:00:00,76256.5
341,"Obama, Barack",Far West,2012-03-10 00:00:00,29625.370000000003
342,"Obama, Barack",Far West,2012-03-11 00:00:00,43207.61
343,"Obama, Barack",Far West,2012-03-12 00:00:00,79786.5
344,"Obama, Barack",Far West,2012-03-13 00:00:00,90673.5
345,"Obama, Barack",Far West,2012-03-14 00:00:00,93029.08
346,"Obama, Barack",Far West,2012-03-15 00:00:00,126015.87
347,"Obama, Barack",Far West,2012-03-16 00:00:00,152925.8
348,"Obama, Barack",Far West,2012-03-17 00:00:00,42975.380000000005
349,"Obama, Barack",Far West,2012-03-18 00:00:00,75142.0
350,"Obama, Barack",Far West,2012-03-19 00:00:00,67239.69
351,"Obama, Barack",Far West,2012-03-20 00:00:00,77847.37
352,"Obama, Barack",Far West,2012-03-21 00:00:00,92924.34
353,"Obama, Barack",Far West,2012-03-22 00:00:00,147511.69
354,"Obama, Barack",Far West,2012-03-23 00:00:00,87793.5
355,"Obama, Barack",Far West,2012-03-24 00:00:00,38651.6
356,"Obama, Barack",Far West,2012-03-25 00:00:00,51184.75
357,"Obama, Barack",Far West,2012-03-26 00:00:00,181791.22
358,"Obama, Barack",Far West,2012-03-27 00:00:00,235674.09999999998
359,"Obama, Barack",Far West,2012-03-28 00:00:00,272740.61
360,"Obama, Barack",Far West,2012-03-29 00:00:00,267397.60000000003
361,"Obama, Barack",Far West,2012-03-30 00:00:00,390769.78
362,"Obama, Barack",Far West,2012-03-31 00:00:00,606581.5599999999
363,"Obama, Barack",Far West,2012-04-01 00:00:00,32751.35
364,"Obama, Barack",Far West,2012-04-02 00:00:00,51202.45
365,"Obama, Barack",Far West,2012-04-03 00:00:00,27520.620000000003
366,"Obama, Barack",Far West,2012-04-04 00:00:00,46824.0
367,"Obama, Barack",Far West,2012-04-05 00:00:00,90717.49
368,"Obama, Barack",Far West,2012-04-06 00:00:00,71000.5
369,"Obama, Barack",Far West,2012-04-07 00:00:00,28167.8
370,"Obama, Barack",Far West,2012-04-08 00:00:00,23183.94
371,"Obama, Barack",Far West,2012-04-09 00:00:00,91697.62
372,"Obama, Barack",Far West,2012-04-10 00:00:00,65105.0
373,"Obama, Barack",Far West,2012-04-11 00:00:00,61065.51
374,"Obama, Barack",Far West,2012-04-12 00:00:00,75758.16
375,"Obama, Barack",Far West,2012-04-13 00:00:00,135360.38
376,"Obama, Barack",Far West,2012-04-14 00:00:00,40957.08
377,"Obama, Barack",Far West,2012-04-15 00:00:00,32356.12
378,"Obama, Barack",Far West,2012-04-16 00:00:00,111117.0
